center,bad
accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
-860,13698,7472,359,-28,-243
228,12986,7246,482,-196,-213
1110,13036,7566,997,-64,-242
1014,14884,7196,830,-169,-226
668,14176,7444,135,353,-328
-232,13356,8376,661,266,-464
-146,14440,7312,915,186,-408
428,15282,7230,792,280,-310
-414,15198,6976,597,329,-330
-1140,14642,6784,441,16,-247
-4,14296,6730,469,200,-159
1220,14784,6006,396,531,-263
-502,14814,6770,455,253,-310
-2560,14918,5036,-141,-446,-180
-1600,13690,5686,159,-1112,-242
376,14950,3646,257,-486,-258
-538,14538,3594,567,-320,-215
-1592,14342,2540,453,-1253,-86
1188,14484,3484,361,-1300,-305
1936,14764,4774,1153,-415,-179
244,16098,3878,1287,-41,47
3160,18134,4754,1533,556,-91
5976,18852,3252,1497,605,225
4056,19118,4172,2768,2269,1405
1544,18422,5596,2790,1551,1569
2586,18986,2516,3943,-55,1481
1182,17806,2838,4548,-265,1816
-196,12588,3588,5989,-181,2441
-2080,11098,5784,6182,-1026,2651
-1922,9918,6238,6056,-607,2471
-266,12192,7758,5421,-495,1787
40,13930,8186,4515,101,582
548,12750,8294,3663,217,-41
520,15140,8302,3138,1068,-573
588,18142,6106,1962,1351,-1200
-474,11500,6256,1924,1152,-1415
-890,8300,4154,1258,2019,-1138
-3104,6810,5564,1141,2729,-877
-1502,8006,4310,1416,894,-1089
498,6078,2320,1652,-103,-877
3128,3444,140,1973,265,-434
3032,762,202,1893,1254,-99
934,-1016,132,2288,945,219
-1830,-872,-844,2394,-237,4
-1946,876,-1472,2377,-924,-326
9240,3170,-3838,2743,-678,-278
2494,1920,-70,3093,-407,-27
2056,-1054,-476,2958,187,-28
36,-2462,-1394,3439,733,283
1432,-932,-2306,3584,783,308
808,-1884,-806,3697,761,263
-1714,-3494,282,4053,-470,-505
-2096,6224,-9746,3113,-913,-1435
-1358,29068,-31740,5810,-5065,-3796
-4064,32767,-32768,15116,-7543,-3385
7490,32767,-30626,20383,-6161,-284
16330,32767,-6258,-2685,-2438,351
-4058,32767,8254,-12690,792,-2513
-11786,5080,4486,2605,1113,-1311
-5388,8552,-4670,6642,506,2185
3770,21274,-10088,4028,-777,1839
6476,30334,-7500,1067,-530,-1068
1398,30736,-9198,362,-74,-2960
-4370,28976,-8856,666,551,-956
-1740,21192,-7832,-187,1096,527
176,19896,-8648,240,749,-425
216,21902,-7916,273,413,-909
610,22258,-9270,1171,650,-293
664,22106,-11232,1221,1369,215
84,20842,-9758,670,1989,475
820,19012,-7900,273,2202,762
974,16834,-6892,-248,2138,709
272,15142,-5318,-249,1674,502
708,14690,-5366,-88,1152,358
808,14302,-6514,104,1081,412
800,14252,-7118,-462,1301,545
470,13872,-7460,-2103,1788,493
762,12208,-6052,-2365,1603,277
1320,13302,-5552,-1516,1158,206
1570,13236,-5510,-2110,682,124
1088,12402,-4754,-2137,528,16
764,13342,-5038,-1525,621,15
546,14434,-5562,-1283,533,86
802,15002,-5036,-1325,320,-79
424,15498,-5424,-1606,-262,-320
66,14406,-4838,-1868,-434,-269
454,13992,-3606,-1466,-464,-92
1040,14860,-3626,-1376,-316,-48
1070,14106,-3288,-1962,-247,-80
858,13282,-2780,-1881,-346,-8
680,13100,-3018,-1932,-416,-49
764,13194,-3586,-1882,-621,-302
1166,13910,-4294,-2117,-597,-472
1370,14122,-4408,-2585,-612,-563
786,14002,-3356,-2821,-328,-632
764,14176,-2370,-2627,-76,-512
1042,13824,-2024,-2128,18,-401
504,14262,-2850,-1490,-69,-379
630,15616,-2554,-1249,119,-479
858,16904,-1746,-1362,132,-558
670,16912,-1774,-1573,-90,-417
380,15876,-1904,-1527,-220,-310
118,15008,-1424,-1409,-221,-363
-102,14732,-988,-942,-399,-392
-24,14718,-976,-466,-520,-308
546,15012,-1586,-309,-572,-249
922,14624,-1318,-421,-588,-325
1342,15296,-1740,-23,-200,-406
1254,16980,-1886,204,174,-369
708,18378,-1656,-38,116,-322
744,17794,-1572,-646,169,-372
648,17700,-1096,-698,192,-283
552,17426,-860,-936,258,-108
280,15624,-354,-1000,424,-225
126,15228,-284,-408,566,-184
88,15810,-454,73,594,-80
-48,16496,-1172,162,519,-47
-4,16256,-890,-21,400,-31
244,15786,-908,-10,328,-55
262,15714,-1050,17,30,-154
166,15952,-1060,-16,-169,-319
100,16264,-1162,6,-282,-358
22,16580,-1008,141,-274,-253
40,16300,-616,242,-291,-160
332,16046,-582,145,-484,-268
192,16180,-1272,168,-706,-317
390,16688,-1612,183,-730,-364
554,16534,-1590,-25,-844,-497
804,15832,-1010,37,-630,-428
596,15482,-566,380,-465,-300
46,15840,-794,631,-470,-457
-814,17026,-1798,567,-464,-434
-484,17298,-2272,242,-374,-78
394,16938,-1764,-179,-35,19
576,15918,-868,-421,31,-130
300,15304,-422,84,-87,-100
108,15934,-602,524,-273,-64
166,16870,-1382,394,-353,-124
98,17020,-1908,-53,-281,-171
174,16452,-1532,-283,-101,-97
294,15846,-872,-127,30,-102
108,15604,-726,263,69,-51
144,16126,-718,502,55,-82
-168,16604,-1566,320,53,-88
-300,16718,-1424,23,-39,-89
-96,16262,-1102,-22,-167,-156
12,15908,-962,179,-169,-164
96,16194,-1536,224,-119,-109
174,16200,-1342,50,-56,-145
-24,16296,-1114,80,-109,-192
