center,good
accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
-1018,9852,8492,221,-446,-233
-710,8516,8762,-76,-238,-244
-376,7388,9560,562,-622,-101
-1010,8526,9536,986,-238,-209
-1094,10654,10260,1743,317,-619
-448,12654,10416,2042,971,-425
-1702,14876,9716,1637,410,-103
-3940,15458,12160,2047,193,-148
-4428,17468,8706,2421,-1082,-258
-3010,19288,6052,2302,-1802,-337
-212,20464,2262,3379,88,-276
-4,21316,3492,3929,2248,72
-2528,18020,8876,4235,2367,643
-4194,13998,15260,3749,1048,679
-2558,12650,11326,2817,565,764
-206,15106,7038,3856,612,585
1688,16412,5420,4208,286,394
1546,15654,6144,3160,1269,699
-2276,14920,6208,3168,889,930
-2334,14726,4660,3650,527,576
-854,14762,3770,3592,429,474
-1068,14362,4178,3519,66,486
-2304,15094,5652,3934,-349,175
-1096,14676,3486,3468,-857,120
-528,15456,3924,3638,-658,229
-572,14834,6566,4621,-233,284
-14,14376,4564,4128,-135,227
-1882,15430,3186,3861,-206,352
-1640,15164,4746,3944,-285,474
-210,14156,5672,4772,403,181
552,13892,3440,3826,-16,360
-902,9852,2388,2407,-328,717
-208,7820,762,3300,-44,619
958,4868,838,2458,533,550
-130,2064,716,2259,690,549
1270,988,-3340,1116,-826,313
800,-1838,-2766,714,78,418
960,1116,-3950,1950,932,371
16,2744,-990,1147,153,413
704,724,-310,1465,-621,309
2440,-2050,-1206,1961,507,738
1570,-2552,-1468,2974,1044,1006
602,-504,-2666,3181,269,968
-370,2084,-1476,2916,322,1108
2,1122,-2588,2865,-600,819
2030,-1722,-14154,3997,368,740
5320,-2440,-32768,9394,1374,-310
-7182,32767,-14480,-1064,-3675,-1079
-14254,32767,13358,-16563,-607,964
3164,-5502,6580,-3206,2614,1340
536,17926,-7596,-2950,-2068,-839
-6194,28842,2500,-4419,-1410,-621
-5424,27138,-3044,-3063,-1230,1526
1938,30070,-4630,-4689,-543,1272
-3680,27032,-13158,-5943,-2363,-19
-3092,16908,-12246,-8084,-2441,2574
-1776,5746,1896,-9639,-2144,2859
2006,4092,7434,-5399,-2934,2652
8990,29508,-10150,-7038,305,3848
7114,32767,31860,-22935,2184,1675
168,32767,32767,-23373,917,-1184
5348,32767,32767,-21020,-446,-848
8414,15592,26846,-19916,-675,-565
8396,9154,5030,-19492,-47,30
4904,3340,1660,-18317,88,639
1430,200,1218,-16792,382,1193
7146,1090,1640,-16160,275,855
3142,-3164,8306,-17060,989,775
-1388,-3748,12076,-17313,1740,1191
-978,-10950,26074,-16127,1535,1692
676,-9264,21100,-15092,1511,1109
-820,-14202,25688,-15243,-323,417
-1378,-15604,31844,-13483,252,926
5430,-9414,23528,-10267,1609,-29
5986,-11760,14240,-11291,1285,-1334
3470,-14782,13216,-12217,277,-2091
514,-12002,11906,-11813,534,-2117
-1412,-11536,9392,-10903,-732,-1697
-1274,-13074,8886,-9758,8,-757
-22,-13806,8476,-7522,1858,104
536,-13078,5274,-6518,2154,182
1106,-11714,4202,-6052,1223,-357
-388,-12864,4134,-5124,739,-233
232,-14598,4210,-3909,1615,499
1642,-15286,4466,-2289,1964,306
1090,-12996,1796,-1907,724,-387
594,-12396,2326,-2078,411,-277
800,-12450,1374,-1766,759,200
3062,-14564,3774,-1147,1380,254
2580,-13684,3548,-158,1271,-283
1140,-14126,3888,364,508,-744
378,-14364,3242,1080,199,-599
690,-14310,4382,1882,225,-420
644,-14046,4662,2715,107,-445
152,-14378,5996,3780,130,-281
612,-14460,7168,5537,273,57
1086,-13542,6294,6551,361,179
712,-13094,6522,6938,339,233
332,-13528,8828,7601,289,408
14,-13234,9810,8603,233,351
434,-12940,11216,9647,267,443
424,-11926,9696,10634,345,699
270,-11232,11466,11125,584,855
-274,-10194,11904,12176,556,1072
-396,-8472,11992,12883,456,1351
-2958,-7536,15352,12967,685,1019
3286,-5850,23542,13297,202,843
-1326,1526,23642,12168,-308,873
-1228,-3422,30594,8549,-393,185
-1104,-4292,30252,7123,-870,-508
752,2914,19084,6095,-594,-545
856,2278,15366,4487,827,-148
-56,-5870,15810,7140,-376,428
2274,-5258,10552,8423,890,582
-76,4904,9856,6524,864,563
98,5780,17762,6239,649,852
-2622,5654,17842,6146,-119,420
-3508,3684,18846,7159,-110,723
-1446,5442,16188,6818,-944,468
230,5292,16916,6649,-809,249
992,4734,14374,7109,-164,274
628,5282,12392,7434,-124,31
-780,8034,11534,6892,-17,-232
-860,9366,12270,6297,-168,-325
-430,8836,13368,6262,-169,-324
-118,9324,13916,6466,-107,-183
566,10086,12944,6239,-40,-179
304,10776,11512,5659,194,-15
770,11952,11340,5103,66,73
-202,11652,13312,4559,209,-332
-1726,11450,11780,4477,332,-440
-282,12062,8994,3745,153,-22
556,12044,9972,3010,6,-88
708,10662,11458,2960,-98,-139
114,9034,11988,3531,154,-4
-562,9250,10774,3803,285,155
-362,10978,9796,3193,-46,233
106,11858,11104,2845,-246,203
338,13268,10420,2788,-104,206
444,12578,10320,2995,404,12
-718,12700,10692,3235,244,-303
-1052,14600,9810,3258,61,-116
-428,15152,9402,3012,231,381
-132,13648,9774,2732,232,550
-116,12706,8660,3115,91,457
-64,13050,7648,2944,193,238
-486,13426,7754,2941,350,107
-966,15488,5208,3239,45,123
-716,17100,4520,2492,-41,190
142,15954,6138,2045,-166,-97
