center,good
accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
-36,29008,-4702,1626,624,1508
1074,28642,3194,1726,-724,-515
-3290,32740,-8710,1971,-1293,-1879
766,27360,-11360,1931,1829,-80
4972,25334,-8480,387,1522,373
1182,23370,-6270,703,1195,-21
-1300,23318,-7176,1131,691,-519
-858,23932,-10686,1008,78,-1039
-644,22048,-8918,935,-467,-983
2390,23360,-9708,518,-201,-77
860,23454,-8612,-374,47,131
788,22556,-8038,-877,669,-120
396,20974,-7082,-463,1002,-401
-356,20174,-5724,383,1027,-600
-436,19730,-6382,472,1443,-474
404,18456,-4922,-85,1673,-234
1610,17524,-7142,226,2259,-97
1610,17070,-4786,181,2558,-107
1216,15850,-4476,429,2331,106
1076,14776,-4296,-105,2035,64
2164,13116,-5696,-924,2099,162
2434,11268,-3272,-1693,1650,-79
2090,11412,-1168,-1926,562,-385
1868,12916,-1164,-2277,241,-508
1996,13206,-4212,-2568,423,-483
2264,11992,-4700,-3109,482,-598
2180,10730,-2338,-2441,436,-547
1914,11294,-1442,-1593,-45,-574
2018,11936,-2554,-1309,-240,-398
1666,11474,-3414,-1564,-174,-273
1082,11394,-2430,-1743,-117,-236
426,11862,-1538,-1180,-994,-235
-418,12448,-2218,-1255,-1855,-407
-556,13174,-2804,-1660,-2360,-867
740,13236,-4076,-1661,-2623,-1219
1532,12882,-6118,-1824,-2290,-1450
2758,14588,-6096,-1477,-824,-1667
3166,19532,-4156,-1228,213,-1464
-392,21838,-1624,-1703,416,-826
-4090,18910,590,-1923,82,-999
-5740,16692,-248,-1683,-470,-1183
-4532,15014,-310,-1193,-1349,-1089
-1824,16696,-696,-548,-2230,-818
328,17678,-758,-901,-1735,-622
632,16722,-1876,-1154,-1149,-738
-1336,15872,-1924,-1510,-508,-785
-2588,14780,746,-1291,18,-418
-1964,14256,1380,-774,-394,-26
-1758,13070,516,-440,-682,-78
-2840,12998,-1460,-158,-1226,-614
-3350,13400,-2172,-346,-2194,-996
-1446,13412,-1160,-312,-2418,-767
-1132,14372,-710,-46,-2590,-921
-2132,15566,508,-13,-3461,-1359
-2642,16810,490,192,-3721,-1618
-1652,18466,110,-134,-2839,-1452
62,18580,1904,-282,-1968,-1263
-144,19042,1844,-230,-1800,-1243
-1314,18582,1542,-605,-1532,-1137
-2080,17396,2052,-864,-1242,-980
-2410,16280,2422,-699,-1127,-816
-2368,15816,2668,-343,-1012,-633
-2538,16006,1468,-129,-1095,-576
-2844,15532,1034,-321,-1126,-507
-3162,15066,1158,-385,-1129,-245
-3254,14944,942,-441,-1411,-44
-3334,14680,1340,-412,-1601,104
-3124,14966,1344,-262,-1836,254
-2834,15672,742,-94,-1991,333
-2762,16108,240,-350,-1909,479
-2886,15888,572,-520,-1734,520
-3248,16078,592,-615,-1618,464
-3800,16194,658,-758,-1690,445
-3858,16188,1196,-705,-1726,409
-3324,16148,916,-602,-1473,452
-2136,16788,1416,-62,-853,651
-1736,18046,-534,492,-1330,569
-1080,17088,-678,-548,-1921,-120
-680,16214,1366,-856,-1770,-495
-792,15320,1698,-643,-1487,-385
-658,14306,1744,-492,-883,-203
-1156,14266,1796,-181,-224,-195
-1694,14964,1708,-97,24,-127
-1928,15222,1892,-128,-36,67
-1990,15372,1660,-20,-13,332
-1930,15972,1392,67,-96,471
-1970,16106,1286,123,-339,517
-1810,16290,1356,176,-705,476
-1090,17124,1618,-56,-899,298
-58,17034,2626,-71,-726,131
506,16454,2638,298,-244,-1
-274,16188,1890,370,-53,-72
-1538,16182,1822,168,-257,1
-2310,16108,1872,-42,-334,211
-1930,14688,1472,459,-506,519
-1430,15300,1696,587,-689,406
-1708,16072,1896,665,-1232,190
-564,15930,3122,856,-1573,-126
288,15520,2538,1141,-1471,-169
-640,17364,1726,1042,-954,-254
446,18666,654,19,-934,118
638,17598,1850,127,-396,-241
-88,17086,658,11,-429,-444
-244,16596,518,-99,-516,-372
1182,16888,162,-414,-602,-385
1530,16018,68,-443,-715,-403
758,15648,216,-602,-509,-416
48,15394,316,-407,-186,-280
-900,15946,888,-137,-274,-44
-374,16062,928,7,-542,163
-494,15884,432,263,-613,-87
2190,16506,1756,109,-269,132
1554,16666,2218,16,-436,314
-1242,15840,412,77,-895,-50
500,16494,1360,-59,-395,150
892,16632,2356,383,110,132
-462,17430,1714,515,-317,43
-1532,17356,904,483,-958,124
-632,17184,792,545,-882,259
696,16558,466,552,-392,107
776,15972,614,609,-152,120
566,15530,596,634,-327,98
70,14968,686,679,-544,-130
-332,15068,442,539,-533,-430
-440,15474,572,482,-535,-370
350,16178,112,275,-311,-254
1014,16092,-180,11,237,-524
270,16188,898,-108,313,-982
-1244,16818,1444,66,-298,-882
-1564,16816,368,424,-406,-298
-1290,17006,-60,493,-118,-83
-678,16376,458,6,192,-380
-558,16028,1406,369,-58,-137
-326,16014,132,404,-70,280
-780,16066,544,418,73,225
-1310,15952,-108,243,337,10
-1534,16278,498,122,183,-93
-330,16114,886,280,81,-5
664,16080,-12,466,431,-213
176,16502,226,-95,687,-436
-1570,16230,840,-280,315,-583
-1426,15878,1044,78,-83,-240
-880,15990,910,138,-150,-229
-970,16028,-90,27,176,-437
-1420,15882,-28,-246,372,-313
-1418,16340,780,-388,195,-55
-1284,16482,1406,-160,-52,8
-1662,15998,1386,126,-314,-105
-1706,15554,1190,259,-529,-51
-948,15734,1010,347,-267,82
