center,bad
accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
-500,10876,11064,-283,-431,-357
-580,10124,11394,-112,-354,-305
-1960,9890,12148,123,-572,-245
-1694,9790,12422,983,132,-223
-1344,10412,10862,1272,648,-101
-1670,10500,10510,1173,40,-52
-1812,10812,10638,918,-269,-83
-750,10946,11734,832,387,-293
-1560,11184,11140,592,284,-265
-2820,11520,10642,526,-195,-113
-1844,12116,11900,527,-213,-283
-1490,12532,12156,274,-173,-321
-2086,12550,11048,6,-455,-164
-1482,12054,11330,110,-300,-139
-1406,12514,11290,256,256,-170
-2762,12006,11190,126,187,-56
-1896,11716,11450,367,-175,-115
-1170,12062,11636,272,-148,-227
-2018,11738,11168,128,346,-132
-2426,11986,10796,422,405,-62
-1492,12012,11158,189,381,-139
-1876,11266,11482,58,407,-140
-2156,10950,11190,493,246,-59
-1338,11090,11158,842,68,-104
-1402,12180,10098,389,306,-173
-2494,12350,10140,-28,542,-3
-1842,10704,11232,248,530,99
-724,10150,12336,1281,105,8
-1328,12124,10164,958,-416,-55
-3178,13592,9466,494,213,-129
-3524,13690,9448,289,229,94
-42,11446,9394,203,84,211
132,10992,9212,264,657,242
-260,11696,9504,1247,1385,268
-1054,11552,10078,2224,588,343
-602,13802,4002,2597,-364,536
-544,19692,4502,3499,129,780
-1042,20864,7930,4400,-403,1159
-1530,18252,8720,5056,-774,1725
1248,15788,9084,5660,-345,1975
-110,13806,9382,5200,828,2080
-2240,10704,10952,4983,332,1883
-2994,9188,10176,5336,-1643,1570
-2780,11766,6528,5319,-1730,1354
904,14460,5350,4539,-210,898
1610,14074,8076,4415,786,518
-1226,12876,8166,3726,-36,491
-930,12714,3392,4270,302,771
2066,11190,4220,3363,561,583
1322,7656,5430,3899,2450,519
-166,7016,2188,4549,1564,402
-78,5602,2722,3342,403,486
1788,3168,-366,3259,1185,586
2502,2192,-4054,3340,1388,577
1138,3074,-3500,2853,1323,530
-950,2260,876,2776,642,272
400,1406,2752,3340,1085,93
980,1982,576,3794,1722,328
-632,2866,1960,3459,1488,554
-2020,2436,2154,2665,161,703
-394,-454,2214,2730,-903,631
1610,-666,-198,3611,-541,891
1066,-1800,-1712,3673,-92,1269
-672,-1886,-2788,3644,-219,1007
-4822,6388,-17566,6748,-5447,113
-146,32767,-32768,13735,-3262,-3593
-6754,32767,-12020,11566,-3030,1916
4368,32767,9962,-3871,-4749,563
9300,32767,15590,-1216,-3876,-3349
2898,23634,2342,985,-1725,32
-4704,20714,-4688,6218,-326,2598
-9810,28366,-8836,5938,-364,445
-8028,32767,-7908,3447,-2119,-2472
3764,32767,-2998,-153,-2958,-1082
8842,30950,-5336,-1103,-1016,1779
3748,20440,-5654,-1443,2040,1452
-1190,14530,-2350,-1534,3241,-398
-1106,16340,-274,-1000,2233,-1183
264,19402,-754,-1461,1227,-758
2902,18836,-646,-2798,1086,273
2876,15834,-116,-4964,1950,402
-2338,11350,-2378,-5461,1647,349
-2316,7000,-2828,-4757,-94,-223
-506,7236,1462,-4274,-1030,-707
742,9062,1000,-3996,-1400,-517
2156,7264,-3290,-3111,-1680,-633
2096,8554,-1178,-1364,-680,-1304
2846,13280,378,-2241,-1147,-1286
1000,15180,664,-2364,-1964,-645
-2078,14242,-74,-1304,106,-268
-3044,14796,692,-400,1102,-570
-52,17384,1344,-692,734,-715
1170,17738,2204,-1334,-104,-465
-898,15372,-80,-808,-291,-2
-1568,14156,32,-597,726,-278
78,15110,1162,-518,652,-660
668,15656,1044,-973,166,-515
-1178,13738,-328,-414,778,-53
-1348,13994,-530,16,1143,-152
-318,16312,528,-242,755,-576
-514,18084,236,-865,132,-665
-2930,17194,1032,-1101,43,-79
-2746,15060,2742,-886,99,202
-284,14570,2854,-250,-15,-153
844,16088,2666,363,2,-276
-490,17312,1722,184,158,-64
-1736,16986,-20,-257,207,152
24,16358,-216,-504,48,120
-28,15656,1632,-537,-87,-54
380,15562,1618,-574,-155,-176
-396,15210,2012,-353,-142,-203
-586,15430,1940,64,-238,-215
-366,15504,1540,247,-181,-160
-544,15982,2330,238,-385,-286
-1190,16340,2814,84,-491,-488
-1154,16290,2426,313,-400,-370
-436,16048,1542,899,-194,99
216,16320,544,1218,4,363
-96,17060,852,737,100,109
-748,17150,1362,-23,-144,-302
-394,15946,1570,167,-269,-290
262,15950,912,633,-3,-30
356,16860,142,523,157,-2
-688,17356,628,-132,85,-207
-1424,16342,1794,-708,-172,-277
-1118,15610,2430,-447,-187,-117
-594,15802,2424,-24,-62,45
-562,16256,1808,339,53,87
-582,16918,738,269,58,41
-410,16768,1006,-300,-121,-76
-198,15880,1746,-520,-395,-216
54,15520,2212,-91,-459,-283
-120,15536,2034,261,-516,-282
-218,16740,1090,155,-585,-296
-210,17270,1010,-576,-377,-298
-280,16362,1678,-841,-365,-317
-290,15634,2008,-500,-460,-265
-218,15582,1978,-183,-444,-214
-116,15874,2048,69,-442,-189
-398,16634,1790,71,-462,-170
-422,16748,1636,-382,-517,-171
-144,15964,1874,-431,-528,-137
-294,15854,1982,-264,-409,-81
-390,16132,1742,-216,-341,-17
140,15718,1962,-238,-362,-90
534,15976,2346,-132,-112,-107
238,16380,2412,-73,137,-24
-54,16450,1964,-226,214,24
-352,16240,1812,-464,275,55
-444,16222,2244,-553,238,48
