center,bad
accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
-2158,15548,-2904,-764,687,382
-1456,15834,-3258,-367,683,470
-340,17404,-3740,-299,424,426
250,17088,-3304,-787,206,269
-286,16840,-3156,-1202,245,70
-892,15558,-2940,-1374,284,-14
-1112,14516,-2738,-754,516,-27
-656,15556,-2784,39,538,-34
-520,16930,-3294,-136,507,24
-474,16282,-3210,-249,530,17
-620,15770,-3272,-428,509,-126
-180,15078,-2796,-68,731,-189
-64,16470,-3064,273,751,-146
-444,16118,-2894,-42,743,-85
-252,15692,-3082,-141,992,-134
-218,15624,-2614,-162,1063,-117
-126,16552,-3032,115,984,-58
74,16160,-4214,372,1060,254
-408,16258,-4580,441,1070,749
-1152,16250,-4012,92,453,813
-814,16686,-3690,-67,-480,559
702,15762,-3410,-631,-1232,340
952,15010,-2190,-633,-1824,-36
902,14636,-2684,-278,-1668,-398
796,15232,-3028,147,-1356,-291
1192,15130,-3404,236,-478,-157
828,16556,-3802,603,-139,-212
-100,17938,-4084,335,-234,-379
-508,17790,-3878,-389,-175,-487
-222,16094,-2270,-442,-242,-361
700,16046,-2272,-226,-171,-298
138,16246,-2618,147,112,-383
-164,16624,-3148,16,258,-424
-494,16222,-2710,-404,249,-307
-740,15560,-2276,-503,151,-234
-642,15324,-2314,-317,157,-248
-568,16070,-2298,-71,108,-284
-474,16618,-2468,-104,109,-172
-512,16396,-2542,-239,17,-136
-468,15806,-2680,-234,-7,-161
-322,15680,-2628,-24,65,-183
-194,16212,-2618,139,143,-129
-168,16198,-2820,29,169,-63
-174,16022,-2798,-127,220,-79
-128,15844,-2420,-131,340,-93
-90,15836,-2482,60,332,-96
-8,16374,-2622,99,399,-127
-194,16480,-2820,-53,350,-128
-436,16300,-2994,-189,274,-126
-438,15970,-2902,-143,194,-179
-290,16456,-2772,33,293,-154
-20,16594,-2956,10,397,-90
-128,15916,-2742,-79,226,-137
-470,15634,-2818,20,251,-179
-522,15634,-3616,124,267,-192
-426,15270,-3720,344,332,-244
-298,15554,-4248,551,534,-235
156,16010,-4522,515,727,-265
-92,15450,-4698,131,901,-480
-852,13978,-4632,237,936,-670
-1230,13348,-4606,1141,797,-734
-2280,14066,-4338,1758,456,-681
-2596,13876,-5104,1791,494,-728
-1604,13276,-5302,2264,885,-799
-748,13886,-4386,2456,988,-823
-1214,15156,-4654,2123,1444,-973
-1392,15556,-4800,1447,1957,-1128
-1544,15364,-3706,1018,1721,-901
-1326,15282,-4536,983,1276,-628
-1538,14720,-5598,704,1710,-653
-576,14932,-5150,935,1597,-754
-364,14852,-5790,545,1312,-835
-2078,15638,-5918,967,962,-468
-4214,16696,-7944,950,375,-543
-3528,18590,-9634,1380,520,-714
-2706,25218,-12068,1137,-173,-726
-3164,29196,-12630,381,330,-936
-1730,22956,-12626,1126,1876,-1758
1684,17044,-14024,3407,3833,-1871
4516,7434,-7674,-710,6759,-2926
282,974,2524,5083,7010,-826
-4978,-6552,9316,5828,5263,97
-9044,-3238,3508,2646,1878,-1206
-3884,2444,-2014,-851,-763,-1721
170,4802,-1860,-3135,986,-616
2230,4248,2612,-232,1773,390
3278,3616,1030,-297,1091,-29
1826,-764,636,-1938,390,-468
-344,-2352,-844,-530,424,-602
-1062,698,-1664,950,774,-515
-10,2930,-962,950,907,-270
2046,1744,-912,-328,1278,-161
3214,-2196,-356,-312,1919,-214
2258,-2790,-1840,1710,2439,-222
1744,-112,-4880,2106,3177,-276
1628,-1376,-4626,1502,3723,-181
1686,-2166,-4884,2573,3589,-348
-288,2352,-8760,2793,2769,-991
-6596,9894,-32768,-2525,1635,-2576
7804,32767,-32768,-12650,1679,-1423
-18384,32767,6690,-5279,-2640,-2381
2850,31410,-12218,-951,-3446,-2504
-346,9530,8412,4157,1217,-900
8874,-32768,9552,-32768,4700,3130
-4866,32767,-19860,6257,1605,-909
-9754,32767,-3908,1523,520,-1018
-4010,28522,-2530,1469,223,495
546,29566,-5208,-252,545,38
-1488,29562,-3504,-1149,596,83
-2186,27798,-4458,-1435,191,34
-2000,25984,-4496,-2454,-286,-186
-2228,25054,-5258,-3645,-700,-401
-1160,22784,-2866,-3428,-534,-267
-580,19976,-1356,-531,93,91
-2024,15900,-2242,9697,927,475
-866,22196,-7708,-2508,-402,-61
-1172,18248,-5532,-3072,-101,-162
-834,17702,-3174,-3046,491,-182
-30,16524,-738,-2933,510,-110
64,14300,-1686,-1988,1010,61
-262,12880,-2542,-683,1377,200
-690,12218,-470,204,797,96
-1202,6432,-1278,7954,321,946
-248,18382,-7086,3189,177,743
-1012,12568,-4138,841,110,720
-298,13106,-3916,11,-108,880
490,12682,-3306,-774,-403,877
846,11094,-2830,-1465,-602,952
770,11194,-3330,-130,-670,887
954,11082,-2932,-123,-781,850
716,10612,-4052,1,-1328,653
104,9564,-5094,-620,-1671,525
638,7168,-5232,-1033,-1638,456
848,5374,-3848,-42,-1335,471
918,6882,-3916,1929,-1329,465
1304,10352,-4718,2141,-1506,388
1040,12182,-4794,966,-1377,330
286,14482,-5622,668,-1287,456
-14,18522,-6830,462,-1053,575
182,20450,-6378,-1145,-1301,514
1194,18852,-5420,-1318,-1414,354
1586,19200,-4388,-616,-1535,199
1108,19010,-3514,-538,-1245,-32
356,16570,-3264,-497,-1433,-125
-78,15800,-3238,-402,-1533,-129
40,15524,-2272,-485,-1582,61
-862,15412,-2600,-652,-1710,-31
-844,15416,-3436,-1260,-1740,-231
-824,14658,-3352,-748,-1821,-57
-286,15702,-3822,-483,-1561,180
