center,good
accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
-918,13706,7584,207,555,-183
-2482,13660,7736,83,64,-182
-2320,13684,7334,52,-175,-110
-1572,13400,8226,138,87,-77
-1400,13888,7944,498,247,-121
-1808,13698,6924,41,111,-164
-1696,13006,7022,53,127,-100
-1502,12944,7326,505,295,-58
-1284,12710,6836,559,455,-18
-1252,12094,5562,751,463,25
-470,12378,4196,896,830,75
-648,11630,4066,689,1288,101
-2422,11076,4374,1126,703,81
-2692,11672,3504,1651,187,153
-554,12756,2572,1549,356,147
468,13376,3696,822,795,15
-1464,12884,6348,944,554,-406
-4252,13888,7196,1790,-396,-298
-3902,17242,5954,2134,-806,-14
-3138,22200,5924,1950,-207,145
-970,24694,3270,2393,579,325
402,26656,-1120,3491,1318,430
-950,30108,-4328,3543,1709,685
-888,25852,-2126,4243,1723,1322
8,18092,3336,5320,2441,2112
-766,12698,8290,7124,2605,2578
-2732,10904,11794,8246,1049,2348
-3056,10988,4974,6730,235,2088
-2696,9838,6852,5553,876,1603
-2912,7340,8890,6328,-108,1783
-2712,11398,5986,5701,82,2003
-2918,14138,5294,4679,-1020,1657
-1372,12190,4942,3693,-651,882
-636,9540,5158,3214,-854,634
-206,7908,3038,3073,-435,833
-814,7378,1950,2972,-299,996
-620,8784,-512,2180,-248,839
-326,9386,-706,1265,-466,611
90,6190,840,642,-391,685
-12,3142,-962,483,-110,683
436,2168,-2708,341,-379,180
602,2744,-3160,124,-577,-164
1728,2012,-950,102,-234,-325
2366,1544,-756,141,110,-706
898,1330,1106,209,157,-1069
-716,2708,-812,776,516,-1002
-90,1274,-1918,793,756,-4
894,-542,-306,738,399,602
2030,-2058,966,635,-235,287
1054,-1936,-694,1627,-193,-134
-296,264,-240,2328,-223,1
2,2002,-6658,2413,30,675
4768,3172,-22082,3434,-759,421
6948,30194,-32768,4289,-1740,-2731
-560,32767,-3784,-1883,-541,662
5036,32767,-5330,-5895,691,-612
-1692,32767,-5400,-8471,2590,-2388
-3948,22830,3658,-8323,598,-2182
-2362,24494,-2616,-7933,959,-1616
-2370,30040,-1290,-8777,-74,-960
-3738,30638,-3646,-10029,-269,-1210
-1952,28872,-3650,-10493,-1060,-2183
-562,25080,-3420,-10293,-2490,-2566
-360,22980,-776,-9536,-2712,-2416
-1446,21100,1954,-7731,-2709,-1669
-2158,16538,-7254,-4268,-2726,285
-2246,17486,-12698,-9364,-3215,356
3650,2132,-2074,-11725,-3394,-603
3036,108,-496,-10993,-2814,-977
2850,11874,-504,-10501,-836,-1552
-406,24382,32767,-16927,-127,-706
-2248,17554,32767,-22932,504,-2386
-4982,9226,32767,-23595,423,-3345
-2544,8156,32767,-20601,-699,-3007
1596,4556,12618,-18773,-1053,-2616
6772,424,8142,-16729,-1048,-2691
1556,-3652,12076,-15677,-74,-2408
1566,-9564,21326,-13632,808,-1326
1038,-14846,23936,-12610,1830,-64
1826,-12152,23936,-7884,1628,574
-4856,4952,16270,-7166,-2066,341
-8652,900,16080,-8240,-2790,-192
-5512,-10866,22012,-7712,-2902,-1424
368,-9550,14524,-7089,-2486,-1095
1980,-8546,8316,-6284,369,-147
526,-10252,7786,-6781,756,-585
1120,-13988,7854,-7196,644,-388
572,-15822,13328,-6660,1180,-536
-1268,-15322,13172,-4838,1572,-847
-1728,-9710,11432,-3323,1177,-1197
-14,-7874,5910,-2728,1338,-1118
-556,-9646,9094,-3112,822,-1195
-2100,-9480,10144,-1059,-509,-1099
-2722,-12030,11030,145,-827,-511
-1464,-10208,6996,2242,237,81
1240,-10612,10698,2776,1515,122
1446,-12012,11436,3732,818,-33
462,-9542,7750,3664,1620,237
214,-10418,10990,4728,3175,689
-1868,-10466,15352,6428,2245,942
-3164,-8662,15212,8184,-162,1093
-84,-6092,13990,8584,453,1151
1428,-7030,16682,9917,2157,1181
828,-3988,18536,10711,2365,1084
-4620,-2192,18770,9080,1058,1035
-6742,-1446,21302,6965,309,723
-5948,-776,22574,4757,229,414
-5186,238,20236,2771,425,174
-4316,1524,17456,732,547,-235
-4334,258,17752,-362,294,-516
-3462,162,16634,-13,212,-505
-3026,-1074,15368,1342,925,-291
-2814,776,9842,1652,1055,-332
-1766,2776,10614,-611,93,-373
-1822,-2096,18074,-718,38,-306
-3122,-2000,18592,1439,57,105
-2858,746,15564,1667,-15,84
-3114,2260,15462,693,-297,-83
-3606,1704,16690,-102,-315,41
-2872,-614,18094,402,-54,142
-3154,-518,15476,758,-92,-22
-3368,260,14322,13,-380,-300
-2880,528,14626,-522,-412,-320
-2862,-324,16432,-810,-279,-246
-2640,-1744,17632,108,-212,-264
-2862,-520,15952,330,-303,-275
-2588,-124,15594,-222,-307,-314
-2506,64,15278,-904,-357,-347
-2560,-2180,17362,-803,-621,-288
-3062,-2708,17078,13,-545,-191
-2730,-1604,15230,105,-220,-51
-2116,-866,15246,-281,-168,-54
-2246,-1078,15978,-468,-242,-88
-2694,-1498,16178,-312,-250,-149
-2342,-1796,16158,-295,-232,-178
-2362,-1964,16224,-126,-287,-112
-1898,-1564,16392,12,-124,-69
-2670,-1448,16242,37,21,-38
-3512,-1730,16142,96,-281,29
-3266,-1450,15698,-8,-45,112
-2184,-1784,15890,-215,149,149
-2244,-1748,16990,-99,-343,58
-2530,-1218,17546,398,-353,-7
-2614,-366,15076,480,262,-7
-2680,-786,14954,-300,54,-16
-2368,-1682,16746,-426,-538,-49
-1896,-1910,17596,197,-424,-67
-2132,-944,16340,940,17,-69
-2356,-586,14634,580,-286,-81
-2700,-1180,15526,111,-335,-49
