center,good
accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
-1604,16454,8354,2335,-707,-580
32,20272,3170,1799,-998,-501
-614,20884,2068,1951,-314,-408
580,23452,-14,2063,1215,-286
-2760,22054,3916,2212,2801,-79
-5476,16850,7122,2245,2126,414
-2062,11900,7884,2519,-742,636
1766,9128,10712,3681,-702,428
1106,11142,7052,4633,-280,196
544,13910,6546,4247,89,83
-450,14206,6958,3386,130,309
-614,14324,4666,4078,120,405
-318,14888,6052,3833,-26,64
-1872,15682,7692,4025,-29,104
336,14594,4998,4426,327,358
998,13452,2096,3514,-247,119
-1086,15752,4232,4677,601,-194
-1222,16944,5946,4573,856,-120
38,15310,2886,3766,217,162
-780,16112,3946,4404,-176,186
-2572,16510,5450,4570,696,107
-670,15618,2262,4479,324,304
596,15920,614,5296,98,489
-40,18404,2636,4577,682,139
-670,15536,3894,4975,763,411
1084,12262,-1626,4917,-256,1062
474,15510,-3436,5302,307,1122
-664,14082,2786,4480,1513,667
-1722,9314,3588,4937,973,891
-164,5224,-4032,4434,-1030,1212
1442,2226,-4692,4196,-1033,1221
2864,3760,-510,3495,-358,508
2968,4860,-1200,1863,-672,178
1710,1880,-1752,898,-21,245
-2880,3440,-460,1199,293,111
-1954,3280,-1868,238,-625,283
628,-148,-2828,275,-1416,659
1668,-3504,-2804,1390,-941,898
2814,-3306,-4284,1437,-241,458
2288,-1540,-2948,2037,230,-57
-380,840,-4492,2333,107,-17
-684,-2318,2680,3195,-738,518
-30,-4888,1830,2829,-555,637
4190,-232,-19752,616,-896,-1009
5986,11540,-32346,5201,2345,-2301
-5496,32767,-4486,-3928,-1976,-3258
-9786,32767,6574,-14751,637,401
3670,21692,5286,-8277,-692,2701
-3050,18924,-15352,-3511,-2639,-304
-2514,21302,-2386,-7834,-1955,894
1938,32328,-4336,-6278,-1526,1493
-3148,29734,-14808,-5389,-2098,1026
-3084,28424,-15836,-7966,-1893,1996
2990,17792,-4948,-12518,-825,2338
3246,20618,-2918,-14934,628,2016
1040,32767,16424,-22112,-844,-254
7444,32767,32767,-26348,297,-492
7008,32767,32767,-32768,2241,20
-2130,10332,29558,-24730,-488,-518
3674,9546,1486,-22804,-2326,180
6042,7168,-2972,-21237,-1229,86
4908,162,1526,-18999,1088,341
3320,-4456,-16,-19632,671,1195
426,-10038,12996,-21464,334,897
2636,-11896,32767,-20819,1315,1809
-2760,-18028,32767,-16636,1488,2212
3290,-15150,32322,-7706,-747,348
6104,-13498,25478,-3839,1447,-1728
1036,-12646,18032,-4249,921,-1691
1380,-7384,10440,-8322,1231,-1795
-146,-11458,6666,-8864,1960,-1395
-1682,-13674,7146,-8793,656,-879
-520,-14790,7018,-8727,2049,-681
856,-14536,7728,-7487,2824,-1113
-216,-11024,4442,-6816,2082,-1485
1054,-9466,5768,-6624,1514,-1710
1282,-8798,2446,-7150,1170,-1455
406,-12628,7848,-6244,2042,-1397
-622,-12578,6636,-4205,1831,-1153
1990,-14006,6342,-1348,2050,-1016
958,-12118,5760,-122,1183,-1127
-20,-13256,3890,-1049,359,-1061
1048,-13988,3748,-1320,1585,-766
1122,-14950,7618,39,1061,-950
584,-13416,4686,469,-333,-806
-614,-14394,7246,865,-414,-415
302,-14082,7626,2067,269,287
1408,-13552,7450,3158,866,551
1472,-13224,9596,3942,355,593
730,-12714,8258,4886,-310,481
760,-12238,7272,4976,-211,610
1124,-11122,7834,5018,-93,658
1578,-11592,7454,5573,-371,723
1526,-10408,9028,5866,56,719
-40,-10754,10150,6194,-53,804
258,-10326,10962,7426,-198,936
168,-9272,12446,8358,149,895
248,-8180,11798,9050,-271,1007
-504,-7756,12718,9187,-341,1170
292,-7354,15848,10468,559,1331
-6152,-6398,20416,10398,1529,1422
-5196,-4544,24330,12594,1232,1036
194,-3324,28150,12394,-457,1270
-252,1218,29630,10767,407,575
-3620,626,31026,9013,-109,39
-3112,1634,23636,5495,-103,-165
-1066,1180,16654,5275,193,144
-896,-1368,15794,6238,369,539
-228,-4868,10144,8585,649,792
2132,2700,10376,7434,439,453
528,5640,11952,6690,1135,421
-2560,5008,16524,6482,881,608
-2448,6548,16440,7869,-109,897
-1732,10132,15020,7452,-204,844
-664,9660,13046,7057,-204,701
-512,6704,14858,6952,-298,265
-92,6462,12914,8414,-14,138
-1086,9438,11608,8860,531,416
-562,9946,10948,7720,529,366
-986,10570,10084,7432,156,74
-1100,11148,10962,7416,524,-10
-1050,12116,11182,7316,523,-68
-690,12598,10730,7091,322,-43
-454,12108,10178,7097,514,20
344,12334,7662,6901,861,-193
-542,13962,7376,5034,1005,-387
-310,14942,9502,6438,910,645
-3616,14828,8598,5027,635,860
-2362,12168,8988,5216,251,1174
-1362,10680,9564,5576,278,667
-388,11192,7010,5683,269,-58
184,13314,4922,5108,469,-259
-740,15806,5046,4294,713,-90
-2606,18070,4928,4083,500,492
-2502,17308,4840,4336,39,891
-568,17620,2608,4278,-209,523
164,17626,1608,3007,-367,-21
-622,17038,1540,2693,267,-77
-1096,17756,1914,2308,480,-179
-700,16664,2384,2115,382,-438
-884,16480,1986,2332,172,-505
-762,17190,336,1441,161,-314
-916,16910,994,462,414,11
-886,15702,3194,0,292,186
-1138,15344,3608,-213,-171,153
-864,15910,2184,-628,-392,35
-344,16100,2166,-1073,-387,-134
38,15558,3414,-1515,-466,-233
112,15694,3536,-1341,51,-256
-656,16660,3396,-1700,385,-375
