center,bad
accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
-1356,10746,12046,441,697,-205
-2044,11108,11428,839,1153,-7
-2704,9328,9476,584,1378,387
-3732,8030,8776,1088,335,410
-4260,12504,12094,2671,-202,191
-4074,15252,11376,301,552,317
-2124,10228,7010,-2414,161,477
-1112,5444,10524,-576,-750,461
-2530,9494,12138,1863,-769,527
-2362,12932,13988,1314,-529,-115
-1166,13512,10372,206,-942,-73
-954,10274,11776,-562,-675,412
-2414,7974,14414,432,-660,625
-2480,11304,12990,1455,-366,-118
-3826,12824,10102,-229,-789,-228
-2808,9540,10864,-442,-874,60
-1154,8998,11178,905,-898,-139
-936,11384,9284,805,-1008,-198
-82,11232,9498,149,-484,94
562,10568,10724,190,307,26
-2064,11008,12054,833,-17,-187
-4164,12446,10882,389,-620,-41
-204,11424,9384,85,45,82
2036,10496,8982,373,764,-57
-2760,10550,10606,984,465,15
-5154,11620,12366,1445,395,11
-2988,12794,8730,411,75,89
-1982,12078,7900,951,-380,261
-844,12396,8668,1720,-49,-32
-2592,14924,9386,3132,-659,-443
-5752,19874,5732,2315,-1872,37
-1406,20540,5036,2785,-1171,178
2220,21712,3236,4338,158,-425
-3234,19988,7184,4275,167,855
-2524,11652,9760,2574,1128,1845
1146,5412,10228,4206,1462,1167
2670,8274,8680,4845,1896,431
-1830,12674,11400,4001,1593,928
-1938,16134,11632,3833,144,940
1220,18902,4192,3173,-17,617
-2980,13702,8216,2163,1754,1271
-3586,8158,8800,2992,1338,710
1354,8656,5964,4040,1299,-204
252,11536,7418,4304,1598,209
-3114,10704,9564,4343,49,1122
-382,8556,6254,2996,765,198
150,8162,2204,3107,2521,-172
-1446,4580,4218,3751,1768,642
-1544,2724,3886,4206,-1852,1397
1060,-42,1980,3822,-743,1025
2146,668,1450,4821,1226,632
672,1896,2478,5677,1236,141
-1144,3318,40,4448,-76,158
2184,-436,610,4175,2729,168
-1948,-2690,378,4712,2596,190
-824,-4250,-1998,4753,2858,509
668,-3294,254,6214,463,408
2200,-2346,-4336,6092,-465,728
4460,2638,-9166,6610,-82,607
1436,19194,-32768,10389,-1543,-1265
-10346,32767,-32768,14391,404,-6137
-12682,32767,-4442,4230,-4095,4560
36,32767,13372,-8143,-6545,-19
-164,22228,17612,-1415,-3868,-2548
-2114,12994,-362,9029,-2361,388
-4604,21506,-12860,11710,-1055,801
-5254,32266,-12970,6096,-1692,-1610
-1736,32767,-6678,-1686,-608,-2918
-172,28378,-916,-3080,336,-539
766,18242,-2158,562,658,1981
-1198,13136,-1474,641,360,1406
-2880,12502,-2582,133,2,-188
-1158,15116,-3146,-174,311,-1001
176,19506,-2910,144,1003,-804
-444,21482,-6440,-1779,814,-462
-1590,16026,-4732,-3860,528,371
-1216,12046,-270,-3704,820,605
-1642,11206,136,-1940,889,62
-1492,14306,-2592,-1029,415,-516
-1182,17046,-3720,-2087,395,-401
-96,16454,-4072,-3101,1137,60
542,15396,-3510,-2962,2027,98
350,13504,-2426,-2971,2296,-237
-866,11482,-1744,-2926,1930,-76
-1346,11626,-2262,-1654,1321,500
-1132,16038,-2318,-1016,637,470
-2134,16932,-2586,-1475,-783,289
-4626,14484,-2706,-1740,-2016,237
-1746,14668,-1562,-1484,-2331,452
1856,15722,1910,-1404,-1760,634
2266,15674,402,-1326,-1919,575
1996,14818,-632,-1609,-1531,384
2100,14924,-2216,-583,-537,330
2364,16504,-2188,307,96,736
216,17136,888,59,222,348
-3110,17786,1900,-781,-1392,-176
-4422,16396,2300,-1504,-1632,-539
-2296,14180,-146,-149,-690,-241
396,15864,-2232,505,613,-129
1786,16128,-1914,-495,1046,-665
-126,15058,-826,-926,37,-751
-2308,13760,630,-747,-803,-156
-3046,13858,288,436,-65,149
-2454,15178,-834,594,536,-11
-1540,15550,-1158,535,368,-188
-1036,15554,-380,-459,-12,-80
-1450,14948,820,-405,196,-11
-2364,14940,426,896,-152,-151
-2300,17144,-892,1230,-717,-298
-1728,17922,-88,-129,-714,-386
-1484,16806,288,-255,-79,-333
-2062,16536,-34,452,32,-164
-2446,16428,-212,559,-302,-127
-1958,15662,294,15,-592,-235
-1716,15362,446,174,-502,-309
-1712,16022,-736,860,-583,-185
-1484,16274,-1264,872,-598,-104
-1704,16622,-898,490,-628,-231
-1598,16542,-282,58,-646,-345
-1200,16428,-410,-45,-738,-357
-970,16326,-938,88,-516,-207
-782,16480,-1340,441,-232,0
-676,16514,-1410,156,205,131
-794,16298,-716,-194,648,25
-1380,16290,-18,-408,414,-156
-1958,16468,-306,-578,186,-49
-1254,16478,-116,-649,-42,6
-318,16468,-72,-266,113,2
-296,16542,-272,-237,477,57
-1260,16190,-428,-402,641,193
-1366,16250,-930,-320,387,192
-758,16378,-1092,-171,404,204
-286,16522,-244,-379,700,200
-412,16100,572,-671,613,76
-634,15606,842,-461,422,-84
-664,15784,384,129,416,-46
-838,15786,-240,313,619,23
-1272,16082,-1022,51,357,-61
-1154,16298,-980,-316,-40,-61
-486,15950,-312,-339,-84,29
404,15526,506,-181,101,-92
564,15700,478,102,-46,-350
-236,16696,-598,198,-62,-304
-770,17288,-1284,-247,122,-58
-1062,16976,-910,-612,311,-8
-1328,16112,-464,-730,460,113
-1024,15292,466,-95,249,85
-518,15716,494,592,-173,59
418,16594,-636,455,-292,-53
1060,16092,-814,-242,-30,-104
