center,bad
accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
-666,9974,12568,179,-271,-112
188,10386,11818,288,33,-124
-158,10654,12188,141,288,-179
-1018,10848,12394,126,167,-122
-854,10324,12564,-71,-168,-130
124,10426,12300,211,-25,-167
-390,11066,12216,375,205,-141
-1438,10848,12750,160,59,-88
-830,10402,12532,230,-262,-156
-94,10906,11758,309,12,-147
-662,11484,11522,20,44,-169
-1084,11052,12752,-127,-148,-169
-914,10772,12792,28,-296,-114
-362,10738,12376,-41,-268,-116
-372,10622,12382,95,-172,-181
-922,10788,12476,200,-156,-187
-934,10862,12096,19,-237,-155
-222,10684,12190,-247,-177,-238
-180,10300,12678,36,-68,-289
-410,10538,12060,158,-102,-231
-340,10778,11846,157,27,-180
-542,11138,12402,174,129,-193
-1232,10846,12894,27,-148,-181
-680,10620,12538,-94,-305,-137
84,10578,12448,46,-53,-139
-486,10874,12278,242,12,-155
-1168,10774,12188,55,-159,-142
-558,10498,12048,-72,-313,-161
226,10468,12222,-130,-101,-169
-216,10488,12504,195,121,-167
-716,10828,12538,248,141,-155
-716,10656,12468,313,-238,-164
-170,11038,11738,51,68,-65
-364,10772,12162,-213,96,-88
-666,10552,12530,138,-85,-102
-528,10846,12360,84,-151,-140
-540,10840,12254,35,59,-167
-596,10892,11986,220,56,-130
-310,10942,11760,8,-99,-103
-140,10920,12208,-188,-39,-72
-56,10520,12860,236,62,-46
-430,10316,11976,611,102,4
-582,10488,11306,656,-209,64
232,10844,11128,1321,-94,149
622,11262,10250,2329,311,230
290,10418,10404,3271,278,418
-562,8238,16214,5538,680,428
-3686,10364,2626,5345,951,411
-1800,14746,162,3993,-1239,408
-1438,20302,9012,2252,-1274,564
-474,20986,9582,1986,-1230,302
-700,18204,4112,3803,-990,515
-220,18768,372,3889,1172,1430
880,16214,5494,3516,1933,1892
1874,11382,8576,3577,1526,1256
2280,9262,9546,3767,761,684
3120,9384,8110,4350,1920,717
1042,12056,8720,4989,1795,807
656,14378,10552,5532,1454,668
-1030,17706,8310,4864,1239,295
-526,15548,6466,4259,1190,320
-804,13792,7222,4681,199,225
-20,14348,9062,5322,-383,92
-380,17070,7514,5677,-280,186
-526,19260,4826,4370,-101,405
-722,17476,5964,4082,-837,379
-702,12844,9028,4957,-892,196
-352,15962,4226,5030,-905,441
1640,16746,2752,4455,-1278,621
1310,15234,4114,3823,-348,-90
-404,12000,5548,3791,-820,-191
-1866,9234,2380,4127,-295,125
-1422,8602,286,4483,362,69
174,6518,-16,3432,399,-355
1748,3770,2600,2880,-1216,-818
-78,-222,188,1262,-2189,-184
134,-3800,-2094,2528,-1250,249
1996,-3084,-2136,3906,-1576,-112
2248,-466,-2696,4199,-447,-36
1702,-392,-1902,3045,309,213
2252,-6258,1264,3634,-247,888
3558,-5100,-3840,4897,-1064,1383
1076,3690,-13538,7112,-2710,760
-1562,17040,-25562,8606,-985,-1523
-3640,32767,-22178,11337,667,-3529
-208,32767,-12592,9673,1847,182
1766,32767,1364,1613,347,3939
-2894,32767,8278,3022,-1521,1603
2510,26344,-5000,1246,-730,381
6906,11734,-11092,4191,2060,697
7098,3192,-11852,5838,4362,377
12,10402,-5466,4968,1714,-285
-5936,32767,-6962,1240,-1019,-1622
-7006,32767,-9036,797,-1158,-1016
1806,19068,-7970,1417,-1278,929
4274,12556,-6504,1006,-694,1037
2664,17818,-6380,1385,884,460
2460,24926,-10126,1216,1255,765
540,20070,-7838,-156,1077,160
-1066,17858,-7594,50,-600,-1124
304,21894,-11066,-1131,-1393,-1146
2590,21928,-9842,-1756,-601,-780
3172,21258,-9184,-470,689,-623
1878,19734,-9698,-202,1016,-665
578,18074,-9066,-136,863,-843
312,18970,-9258,-505,580,-802
766,19730,-8520,-1486,125,-818
1442,19382,-7670,-2476,197,-942
1368,17624,-7474,-3211,326,-924
514,15328,-6444,-3150,379,-627
270,14376,-6418,-2601,353,-434
892,14966,-5786,-2399,345,-491
1596,15234,-5356,-2613,662,-510
1250,13840,-5034,-2618,842,-314
908,13290,-4424,-2093,720,-235
1324,14292,-3736,-2175,522,-225
1200,13546,-2856,-2900,600,-46
840,11452,-2714,-2694,744,116
434,11166,-2882,-1533,596,37
644,13182,-3092,-1217,253,-33
924,14300,-3068,-2112,-152,-28
1092,12680,-2626,-2442,-230,-53
466,12058,-3176,-1565,-165,-121
786,13054,-4024,-1149,-143,-30
1852,12922,-3380,-1320,-154,15
1804,12622,-2818,-1065,-244,14
1114,13168,-2756,-627,-609,-36
1276,13684,-3310,-777,-729,-53
1580,13106,-3396,-1050,-193,-46
1596,13448,-3562,-442,-76,-52
1164,14424,-3106,-478,-319,-80
996,15424,-2908,-588,-604,-139
1150,15846,-3358,-878,-500,-310
1398,16078,-3246,-896,-580,-337
2096,16568,-2690,-831,-475,-247
2040,16930,-2776,-949,-52,-198
1368,16576,-3320,-900,47,-152
412,16020,-4110,-540,-182,-78
248,15806,-4254,-246,-415,-113
1106,16650,-4100,-65,-405,-90
1902,17278,-2904,-606,-101,-97
1336,16754,-1724,-954,180,-220
544,15796,-2064,-359,103,-343
666,15676,-2756,466,-64,-114
1422,16446,-3364,328,-115,2
1184,17184,-3196,-295,25,-319
536,16954,-2672,-750,-295,-530
100,15904,-2032,-972,-714,-503
442,14260,-1628,-813,-980,-349
1132,13858,-1768,-615,-657,-271
