center,bad
accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
426,14876,7024,328,-161,-134
342,14918,7034,286,-260,-146
616,14884,7120,228,-154,-130
508,14740,6952,298,-130,-136
254,14882,6492,224,-216,-154
270,15156,6864,112,-249,-111
242,15042,7010,71,-135,-76
296,14798,6842,45,-242,-90
586,14860,6488,51,-279,-104
374,14814,6462,-6,-326,-84
222,14796,6166,-104,-287,-32
486,14340,6794,-85,-301,-10
648,14462,6410,50,-324,-82
962,14500,6930,-49,-138,-178
1282,14536,6246,94,40,-148
1140,14116,5602,-20,89,-94
764,14236,6176,-270,180,15
310,14280,6620,287,304,-62
1180,14572,5572,331,332,-11
1748,14482,5504,441,446,144
782,14272,5092,755,435,220
584,14206,3664,1211,470,295
986,14346,3276,1500,583,213
902,15626,3374,1708,410,151
-242,17066,2698,2138,-75,212
-1306,17434,1332,2343,-661,137
-1022,17112,306,2695,-1205,-83
850,18772,746,2976,-1614,-327
1948,20510,556,3385,-1283,-222
1934,17886,126,3957,-467,184
3208,13854,1166,4723,705,136
4080,14146,3128,5112,1876,-262
2534,13980,6842,4465,3151,-250
-130,11356,8200,4381,2153,275
-900,8766,6976,4524,679,292
-1314,10338,5788,4026,1030,-204
-2304,13122,4910,3694,-205,-491
-3022,12380,3524,2997,-371,-194
-1532,8148,3944,2872,-636,39
1312,8216,3726,2952,-1509,-169
1320,7820,-78,1783,-579,-343
-354,6128,-870,2886,569,14
-1974,4400,-128,2827,98,302
-1096,2626,-638,2766,-854,288
1312,414,-1812,2969,-1595,-15
1390,-84,-1830,3063,-1585,90
1888,-84,-906,3331,-837,-159
1006,266,-274,3807,-263,-455
578,2840,-716,4254,-728,-113
1724,2608,-522,3591,-1028,260
1636,654,-2168,3464,316,249
-134,840,18,3804,235,342
794,-208,-1924,4271,-762,483
3340,-404,-3800,4365,-322,786
4064,140,-9884,3966,705,578
-6458,9496,-22734,5244,260,-1167
-1184,32767,-32768,2214,-3271,-478
2448,32767,-3068,999,-2853,745
4724,32767,-8352,-2289,-369,1428
5072,30910,8064,-5303,-350,-562
-3296,20880,-238,1079,-1383,-2014
2928,19872,-4058,2231,179,647
3804,21542,-5426,3764,507,1627
-152,31560,-8742,1530,57,1337
3058,31006,-8734,725,882,925
3144,22588,-6088,155,631,-284
94,20712,-5680,856,-141,-314
-586,24126,-9076,704,-299,208
2432,24224,-7798,453,52,264
3284,25164,-10968,696,492,-146
378,25040,-9840,-546,-147,-752
52,24102,-7508,-85,-420,-459
1600,24922,-8676,-567,-343,36
2260,22940,-7696,-1166,-249,-246
1948,21514,-6202,-578,-480,-938
1284,21376,-7030,-178,-329,-1166
1048,20988,-6582,-206,-115,-1202
890,20396,-6372,-277,-171,-1178
514,18750,-5324,-408,-414,-1144
62,17496,-4186,206,-471,-974
718,17194,-4508,565,-348,-768
1326,16860,-5446,313,-112,-801
1386,11372,-4068,2729,677,-553
994,19268,-7932,5740,1013,-24
568,14800,-4446,-789,774,-635
1176,13744,-4482,-1285,410,-689
1260,12848,-3556,-1659,373,-863
960,12634,-4194,-1931,472,-942
374,12842,-3962,-1962,700,-771
380,12972,-4450,-2186,848,-475
614,12864,-4364,-2655,1006,-330
854,12984,-3332,-2907,633,-406
242,12632,-2482,-3132,151,-489
-230,11362,-2778,-2906,-126,-406
-288,11416,-2870,-2359,-47,-307
498,13396,-2992,-1764,57,-168
1096,15302,-3364,-1846,-197,-183
1416,15264,-3124,-2442,-465,-446
992,15330,-2842,-2568,-298,-758
326,15444,-3428,-2599,-301,-731
-364,15254,-3424,-2770,-377,-557
-354,14260,-2752,-2930,-427,-283
-596,13616,-1610,-2849,-507,-71
-482,13264,-2074,-2224,-592,53
394,13200,-1340,-1929,-602,43
970,13778,-1824,-1814,-263,-58
1014,13918,-986,-1356,171,108
702,14064,-856,-790,324,155
506,14416,-664,-386,378,48
12,15230,-846,-547,286,-105
-324,15682,-1514,-595,195,-286
-320,16194,-626,-567,169,-410
-494,16626,262,-390,89,-370
226,16862,-1634,74,-40,26
708,16624,-2196,-482,190,-134
978,16094,-1212,-728,206,-236
116,16124,-392,-525,177,-330
-404,15638,-298,-185,407,-294
-146,14778,-234,70,588,-147
362,15362,-420,300,498,-46
418,16388,-802,501,509,-143
-48,16418,-760,488,539,-185
-236,16214,-724,399,468,-134
-662,16044,-60,322,154,-132
-1200,16316,-148,330,-229,-185
-1180,16550,-698,320,-684,-164
-458,15806,-100,488,-729,-45
-160,16132,-690,643,-1020,-123
6,17472,-1514,237,-1139,-183
144,16778,-876,1,-986,-223
370,16322,-530,12,-984,-213
484,16322,-674,-86,-919,-194
388,16376,-764,-176,-643,-176
168,15992,-536,-213,-437,-193
110,15874,-432,-188,-385,-184
14,16330,-616,-122,-372,-157
18,16416,-696,-153,-373,-126
46,16482,-564,-169,-287,-131
130,16342,-720,-46,-153,-86
212,16460,-856,0,-259,-96
272,16224,-760,-260,-10,-166
76,16018,-320,-120,-132,-251
192,16216,-788,88,-262,-309
2,16606,-876,-46,89,-211
-12,16128,-10,149,133,-104
134,15706,-632,241,-8,-204
-100,16488,-666,176,-142,-334
-224,16842,-806,68,-80,-274
-164,16908,-680,-59,11,-170
44,16580,-620,-156,-76,-113
