center,bad
accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
-2192,14306,7806,-140,-176,-142
-1770,13840,8006,99,-87,-62
-1230,13908,8188,325,-12,-88
-1520,14040,7872,385,-134,-126
-1992,14194,7866,378,-191,-89
-1900,13792,8160,579,30,2
-1720,13832,8182,824,37,43
-1638,14160,7500,674,-148,2
-1810,14112,6962,537,-168,-51
-1828,13964,7320,465,-97,-50
-1462,13652,7006,500,143,-34
-1270,13532,6566,553,281,-97
-1618,13414,6588,545,384,-230
-1716,13472,6262,630,843,-219
-1602,13830,5578,794,1194,-145
-2464,13916,5404,705,1183,-180
-2666,13696,5132,1007,1096,-15
-1330,14414,5304,1406,1397,-117
-1944,15258,5366,1335,1630,-298
-2368,15242,3596,1279,1850,-157
-888,15084,4220,1466,2118,258
-962,15880,4316,1986,2339,533
-1830,18182,2874,1550,1536,733
-652,18166,3802,1518,794,1063
956,17170,4974,2257,648,1290
920,17398,3398,3214,384,1790
210,19728,584,3564,-396,2588
1566,18976,1948,3763,-609,2487
1380,16610,5138,4377,-630,2235
-962,14428,4128,4867,-1029,2438
-2888,13056,5290,4750,-1372,2099
-2540,10780,7072,4932,-806,1555
-2056,9374,6588,4731,-1297,1047
-2932,9108,3794,4308,-2270,942
-1222,10290,4974,4229,-1483,929
2,10812,4754,3587,-649,644
812,10500,3252,2264,-927,-69
-376,7358,3912,2206,-367,34
-550,4704,2258,2014,-73,36
186,2550,1492,1849,-313,-150
472,2778,-328,2134,-493,-321
628,3006,-936,2286,-124,-198
64,1248,790,2300,641,78
-1408,-588,2342,1852,-159,-176
-722,-1076,2922,2515,-577,-657
638,754,1950,3871,-1114,-812
674,2506,-264,2985,-1406,-460
-528,-1610,-896,3125,-555,424
-676,-1766,-1166,4146,-1062,919
1582,554,-2772,3908,-2553,788
3032,-1008,-4320,5186,-1426,1129
3136,-680,-6348,6215,232,1088
5090,922,-16982,6543,-420,1011
7426,9962,-32768,9352,321,-1015
2054,32767,-28678,4035,-2540,3980
1324,32767,-846,-3919,188,1183
-362,32767,-3956,-2955,-1940,-2720
-452,15646,-6474,1684,-746,-1564
5114,21334,-6888,3128,-1870,324
-52,28624,-3370,4703,78,640
-762,32767,-13358,3149,531,577
-40,28012,-9312,2771,103,-256
1816,21668,-10808,2681,1102,695
-1652,22100,-3358,2066,1097,660
-928,27518,-8174,3767,534,60
2026,27600,-10640,2616,1287,-192
1366,26202,-13444,1526,1979,-342
-258,24292,-13182,-1425,2060,-924
-726,22370,-8662,-1715,1401,-889
380,22440,-8774,-1336,1626,-736
630,21388,-9172,-1206,1107,-1103
-362,20010,-8306,-836,611,-1187
414,18978,-8292,-539,556,-1114
854,17820,-7468,-504,659,-1063
598,16248,-5830,316,421,-902
788,15642,-5776,1159,130,-360
664,15066,-5804,673,21,-200
750,14886,-6704,-173,-2,-334
1086,15162,-7006,-1474,-9,-482
954,14464,-6778,-2244,25,-532
322,14030,-5666,-2036,442,-467
600,14362,-5832,-2410,440,-494
1154,13724,-5670,-2848,505,-491
1090,13362,-5070,-3050,559,-515
488,13324,-4296,-2767,663,-438
-64,13402,-4806,-2427,482,-382
134,13118,-4580,-2040,-75,-323
682,13712,-4118,-1872,-338,-370
836,14854,-4572,-2176,-147,-314
788,14878,-4504,-2153,71,-160
416,14062,-4106,-1984,-115,-103
636,12580,-3068,-1651,-181,-70
1136,12938,-3242,-1356,-62,-186
682,13520,-3886,-1273,88,-275
-34,13874,-3594,-1555,-32,-376
-496,13326,-2996,-1569,-538,-499
104,13844,-2614,-913,-776,-516
830,15262,-3244,-808,-565,-502
914,15770,-4094,-1157,-589,-440
520,14778,-4380,-1631,-704,-542
320,13380,-3824,-1460,-604,-608
730,14252,-2746,-841,-256,-523
1078,15070,-3236,-1214,-27,-438
780,13788,-3156,-1708,143,-440
-122,12588,-2890,-1246,134,-395
-242,13662,-2812,-22,-90,-351
164,16140,-2812,85,-287,-206
802,16752,-2684,-890,-26,-192
500,15492,-2780,-1214,268,-453
-164,14836,-2956,-602,-24,-650
52,15158,-2876,-132,-284,-638
510,15726,-3060,74,-150,-517
212,16094,-3810,-217,-215,-528
-944,16044,-3612,-444,-609,-427
-1172,15676,-3108,-571,-797,-320
-810,15474,-2102,-290,-778,-180
164,15972,-1618,118,-594,-72
582,16068,-2594,146,-517,-27
1244,15724,-3624,-299,-457,-123
1956,16908,-2714,-78,-30,167
224,15124,-3178,-852,333,-121
-564,15220,-756,426,8,-75
120,16052,-2828,205,122,-67
-240,16890,-2460,-270,-115,-352
-660,16626,-1824,-324,-297,-411
-874,16216,-1612,-218,-279,-315
-928,15756,-2234,-109,-278,-199
-492,16020,-2964,-30,-276,-154
-126,16812,-2838,-323,-279,-151
-112,16458,-2134,-602,-307,-197
-292,15778,-1622,-550,-282,-190
-154,15610,-1566,-191,-197,-126
-230,15900,-1702,-86,-369,-138
-150,15846,-1910,47,-364,-126
146,16188,-2074,165,-76,-137
174,16610,-2226,206,26,-136
104,16962,-2200,-31,-15,-164
-176,16844,-2702,-328,-77,-203
-100,16392,-3092,-465,-111,-197
260,16062,-2556,-423,15,-126
300,16272,-2096,-398,138,-34
-2,15976,-1694,-403,169,13
-310,15744,-1800,-203,16,0
-270,15710,-1896,46,-215,-20
-42,15962,-1864,252,-292,-25
244,16108,-1642,264,-37,-19
532,16120,-1164,197,261,-54
230,16030,-1562,401,363,-30
-386,16132,-1678,326,93,2
-728,16210,-1674,54,-234,-47
