center,good
accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
-1520,17842,6858,1637,832,433
-3044,16528,8576,1922,-599,679
-3768,17110,8146,2128,-1303,541
-2996,16548,5114,2378,-2802,815
-382,15328,7170,2042,-2396,1103
2064,15306,8650,2297,-1645,924
2144,14152,8920,1895,-1144,722
1184,12260,10376,2285,-568,958
-2166,14932,6908,2624,-318,1060
-2018,13936,7362,2346,-802,947
468,11644,6992,3008,-411,653
44,13018,6146,3388,-272,318
-1682,15210,4704,2386,-656,78
-1006,14526,5400,2929,-880,134
-236,13820,6330,2960,-1122,-139
458,14184,5782,2796,-490,-196
520,14376,4882,3393,13,253
654,15340,3506,3566,447,-7
-1650,15770,7784,3415,129,-452
-1538,16358,3710,3781,153,-136
-1004,16858,3294,3564,-533,-29
874,15896,3078,3220,-421,-223
-154,14790,7288,4133,1010,-169
-1212,13414,2078,3369,-419,105
1278,14032,2352,4437,41,99
-1488,11676,9224,4503,543,-258
-2240,15822,140,4791,763,-448
-1796,10980,618,1603,-1547,94
1972,10276,178,3060,-737,441
502,9726,5972,3252,555,85
-26,8098,3804,2687,1700,-29
-2510,7570,-956,3068,720,339
840,2734,-3004,-368,-2931,118
1784,22,-898,1228,-1121,120
2758,2570,-1694,1064,-791,-242
662,4082,1248,664,-886,-550
-752,128,1568,1437,271,-232
-316,-2722,-1376,2424,-248,239
1450,86,-4726,2713,-435,24
2490,-142,-2148,2475,363,-229
3342,-3384,-5094,3046,455,-157
76,-5946,-5094,3700,55,-126
-758,-4276,-5668,4135,-442,-193
-176,462,-16862,4136,-1511,-294
602,11366,-31974,8055,228,-4074
-6552,32767,-14936,8344,2299,-5445
-12196,32767,-1062,-1600,814,-2178
3188,32767,-1796,-6945,-1711,2229
1954,11538,388,-4660,2596,1915
-5838,14678,-3846,-3448,2635,-279
-9602,20526,-4552,-2895,982,-508
-3478,26242,-6680,-4409,-680,-217
-302,21192,-6650,-4582,-1509,783
-10,19934,-8260,-5453,-921,540
-2892,18948,-5072,-6147,-1954,204
-1086,19566,-6554,-7267,-1744,808
-264,19258,-4906,-9094,-1733,1201
-1216,20286,-8602,-9785,-1857,1179
-2172,12004,-6882,-12123,-1376,1079
-12,8680,-4706,-12244,-889,353
2536,8754,-4878,-16448,-579,-324
-1668,31880,24024,-20465,-968,-1613
3892,32767,32767,-24625,-1048,-623
1672,30506,32767,-29920,305,219
-638,10998,26064,-22450,-1846,-532
5580,7346,3792,-21407,-1608,-115
10490,7544,-1628,-19605,644,-880
212,-1988,8748,-18728,1202,-100
-732,-6648,7078,-20669,401,-716
4506,-12376,23776,-20096,-400,-158
-1792,-14598,32767,-17534,-1903,490
-5532,-9264,26380,-12589,-3543,1689
5656,-16306,29784,-6444,-894,1486
2100,-19122,24236,-3729,1262,-426
1256,-9476,7076,-6492,996,659
1378,-10148,6554,-11789,729,-542
-902,-10914,8102,-10889,83,-624
-630,-9608,6098,-9916,306,335
1486,-12606,8872,-7912,2165,205
1506,-13836,6784,-6435,2496,-478
1708,-11958,5570,-5427,916,-593
1402,-9948,5178,-6028,178,-836
430,-10390,5246,-5707,-159,-1278
-1114,-13786,5408,-4086,23,-994
-660,-15608,6792,-1438,1340,-755
-254,-13130,6458,-29,1529,-791
-58,-11996,4720,-865,-226,-782
608,-13686,6472,-570,53,-586
-30,-14356,5448,1125,999,-218
-358,-13588,4690,1158,592,-260
-250,-12772,5940,1599,324,-335
130,-12860,8852,2572,611,-226
-692,-12714,8976,3928,-290,-331
-1990,-12454,7118,4165,-720,-46
-662,-13162,7844,4625,564,550
510,-13842,12934,6368,1818,785
-132,-12028,10600,6677,1547,538
-120,-11616,9264,6473,1078,621
-354,-10768,10514,7109,1067,653
-900,-9914,13050,7707,879,548
-896,-7570,6562,7095,196,494
86,-8474,10598,7958,847,987
114,-10214,15590,9801,449,1076
-2450,-6976,13044,10553,-322,1199
-5700,-7032,16444,10543,-1317,266
3574,-3954,24520,13403,-2289,199
-530,-2566,31858,14311,-1283,517
-1498,1038,28886,11289,-145,-76
-1506,2756,28564,7948,-182,-286
1522,-400,24392,8881,570,716
892,1934,15424,9306,1960,712
-190,1402,15492,7863,1820,822
314,1418,14204,9358,2015,628
-2344,3330,9388,7985,2658,556
-6874,6484,12680,8202,1255,302
-4568,9166,14442,8612,-750,528
-272,10294,12972,8318,-1329,418
820,10028,13804,8072,-111,124
316,10354,12178,7755,490,-4
-1608,10706,10806,7366,989,-21
-3006,10302,10180,7092,839,157
-2346,10356,10130,7088,407,203
-1598,10204,11012,7648,570,129
-1284,12262,8086,7141,623,-151
-1468,12298,6004,6398,650,-520
-1716,14252,6612,5478,472,-560
-932,14434,9954,5115,852,145
-976,13858,9486,4828,1146,507
-932,5428,11112,3311,196,1182
-2606,14048,6592,4234,386,665
-3906,11334,10366,4446,348,114
-3172,10866,8902,5202,-176,-314
-1912,13586,6620,5356,217,-320
-954,16902,5612,4234,444,-29
-1210,17098,5324,4134,518,436
-1722,15960,4404,4410,289,830
-1776,15960,4404,4244,188,681
-2636,15946,3950,3717,-111,309
-2274,16374,2974,3297,-220,16
-1802,17174,2932,2925,386,-123
-1568,16340,3102,2636,641,55
-674,15868,3606,2535,719,188
-516,15714,3640,2686,561,135
-1258,15820,3054,2600,565,258
-2414,16392,2844,2497,453,454
-2090,16710,1346,1479,29,584
-1132,16320,2160,378,-335,413
-1400,15686,3132,230,-173,253
-1836,14540,4808,1185,-60,170
-932,16636,2024,1700,32,188
