center,good
accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
-1014,12938,8582,-1025,1324,-371
-1866,13366,9148,-565,2030,-141
-2466,12666,10904,-831,1562,-17
-168,12728,10192,-810,668,-180
-300,13136,9108,-444,1008,-23
-2480,12714,9898,-514,1076,228
-1470,12268,10088,-337,602,102
952,12966,8252,-35,624,-72
-402,11702,8028,-432,1059,31
-1956,9816,9514,-233,1101,438
-428,9518,10422,916,1121,267
-34,10688,7482,661,1024,7
-140,10436,5692,406,1197,243
-912,10912,9504,918,1614,363
-1944,14528,11214,944,1428,-138
-2136,16988,5828,946,-1084,-466
548,20748,-952,1630,-1213,-46
1792,21096,1018,3489,2976,524
-314,18132,8436,4995,5511,807
-6028,18556,7660,3869,2173,659
-4142,15326,10012,3288,387,1379
-1744,12704,10046,3616,104,1369
2204,12364,7550,4052,-773,789
1020,14232,4338,3630,-738,519
628,14302,5800,3832,197,510
-1690,13164,8528,4397,-215,577
122,17308,1546,4265,-1128,183
-194,16166,2892,3062,-1325,208
-1724,15328,4942,3276,-964,618
548,13900,5990,4176,-269,67
468,16586,1572,4051,-944,-249
-1552,18656,1866,2222,-1614,254
994,17082,6230,3846,-866,143
450,16538,4010,3863,-725,-10
-2790,18896,-796,3666,-1106,411
-574,17596,2950,3467,-1250,486
2378,16076,3602,3924,-803,-310
-422,14558,1916,4620,73,-72
-2372,14722,158,4908,-427,530
1338,14412,474,4340,-1418,103
3588,13144,3688,4283,-297,-490
-1278,11384,2200,4724,2194,-15
-3444,9116,-1428,4244,952,516
-310,6188,-3824,3126,-1428,456
3652,6076,-3718,1962,-1097,91
1816,5088,-1342,703,359,207
-742,2454,-1068,-36,-90,320
-970,-506,-2826,-1104,-1359,193
12,-3148,-3142,-877,-2041,262
1870,-1646,-3078,-683,-873,95
2638,1652,-1724,205,-755,-318
2970,-2156,-1752,584,-220,-35
1128,-7302,-5606,1559,69,1033
314,-4590,-6020,1761,29,611
336,424,-2370,2015,-102,-76
1028,1216,-3654,1067,85,-184
1612,-320,-2870,1241,260,-188
1210,108,-2708,2307,524,-299
-664,8510,-23544,904,-2122,-514
1126,18028,-20450,7685,679,-2419
-4168,32767,-14144,203,-211,-2208
-6058,32767,-2928,-11540,-2584,-9
1614,15300,-1810,-2854,251,3117
2592,23100,-4948,-4114,-1696,1886
-1312,28460,-3234,-7183,122,-300
-2280,32010,-2922,-4951,-563,157
-1048,27926,-14390,-3787,-468,592
-2722,26622,-7832,-8753,-40,147
-3512,21560,-1750,-10553,-1231,-262
396,12070,1180,-10708,-798,277
-548,25988,3134,-11376,-717,945
658,32767,12670,-21619,-1854,-1365
4492,32767,32767,-25992,-668,-1194
7516,28904,32767,-30458,461,-286
3032,9156,28196,-27132,414,-123
4142,5088,7088,-22583,-138,-135
4374,4602,1568,-21891,-371,-328
3448,3128,2744,-19143,1100,-142
2118,-2838,4502,-19994,1717,335
-360,-7592,17408,-21076,1806,-557
-242,-10690,26494,-22127,1518,-825
-5098,-20308,32767,-18027,1976,-377
-6304,-15246,32767,-8516,-1107,-640
488,-13012,28132,-3096,-718,-670
400,-9872,17710,-480,1231,-752
844,-11560,7104,-4740,853,-938
-1730,-11326,1850,-9505,-22,-976
268,-11902,8274,-9770,493,-504
2256,-13154,7926,-6945,718,-615
834,-14156,5998,-6076,612,-930
-254,-13466,5296,-5502,142,-897
-544,-11114,5510,-5049,-115,-891
624,-10150,2934,-5072,307,-621
964,-10342,2378,-4724,651,-560
422,-10936,6362,-3750,1148,-619
-908,-11922,6568,-2947,-215,-488
-400,-13818,5566,-1289,-234,66
1314,-14970,8060,-265,1098,29
210,-14322,9978,1450,585,-237
-616,-13386,5850,2426,-469,22
446,-12886,6314,2030,122,210
184,-14002,9678,1782,247,64
-858,-14290,10108,3311,-36,249
196,-12448,8458,3950,171,545
256,-11420,10396,4371,586,413
176,-9914,7730,3664,211,366
-454,-11350,9496,3926,500,309
-408,-11534,10048,4887,891,445
-234,-11804,10590,6110,796,617
-540,-10526,10612,6765,337,745
-1040,-10044,11110,7356,-148,953
-726,-9042,10760,8538,16,1151
-1612,-7066,12802,9110,52,1375
-88,-7594,12352,9705,-448,1563
-5754,-8420,19138,11448,-1536,1222
-1358,-3650,23934,13943,-2567,643
-300,-1688,29444,13768,-1397,998
-2382,624,32767,11500,-836,272
-1898,2224,28588,9317,-680,117
-256,2438,19280,7660,-208,412
2302,-816,19542,6927,973,634
550,488,9656,11157,981,1016
2142,676,8822,8803,1587,198
-610,7620,8182,7212,1674,494
-2886,6942,13494,5488,1755,85
-4034,7606,17916,7455,25,361
-980,11300,14276,8005,-822,775
1334,9212,12146,7079,-175,572
374,7176,13054,6616,541,432
-1304,8592,13170,6575,735,363
-2338,9814,12542,6897,396,373
-2204,9080,10442,6959,110,418
-1298,9106,9812,6654,-117,246
-882,10936,10408,6137,162,-124
-966,10976,12580,6165,484,-205
-1008,11156,11794,6457,719,-40
-1014,11760,9542,6325,678,66
-592,12226,7756,6149,715,-67
2,14618,7436,5364,1111,-206
-1280,13706,10100,4367,1102,-17
-2288,12312,9866,4578,1199,738
-3258,13258,8618,4447,554,1212
-2124,12588,7480,4816,-17,1561
-418,12668,6452,4822,28,1084
-232,14082,6218,4818,495,-105
-1530,16968,5174,4172,1029,-761
-2238,17400,6856,3534,831,-358
-1716,15142,6824,3759,520,191
-290,14744,3866,4005,362,197
-28,16176,2828,3148,461,-167
