accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1018,16254,-2972,-48,-404,-330
1108,16104,-3116,72,-452,-356
1674,16208,-3484,-140,-299,-566
2172,15614,-3230,-497,-87,-1166
766,16360,-1976,4,-280,-1153
916,16902,-3524,-69,-543,-986
806,16162,-1352,101,-202,-1220
1090,15464,-5004,-535,498,-1711
-700,16564,-240,-256,911,-1142
-244,15288,736,-1692,1106,-418
-526,13786,-3064,612,583,-343
182,15382,-3984,464,671,-591
522,15828,-3614,434,1001,-523
566,15114,-3698,442,1241,-496
-64,14808,-3564,790,1258,-513
-688,14558,-4056,811,1119,-557
-1072,13668,-3664,921,951,-581
-1272,13698,-4092,1118,862,-593
-1002,13458,-4144,662,1243,-707
-462,13204,-3608,608,1721,-573
-232,14324,-3330,842,2231,-404
-262,15394,-2842,517,2567,-467
244,14846,-2750,148,2746,-591
44,14556,-3088,327,2842,-697
-1490,14910,-4434,774,2870,-756
-1964,15538,-4880,713,3224,-895
-1614,15768,-3520,633,3374,-914
-1860,15674,-4224,501,2924,-758
-3590,16264,-4504,525,3185,-591
-3336,16814,-4996,898,3736,-557
-1570,18440,-5858,1065,4226,-463
-1666,19992,-7096,272,4138,-725
-2282,19548,-6318,-437,4690,-1179
-2946,21066,-5056,125,3920,-1551
-3654,26524,-6534,-163,3317,-2031
-7608,32490,-7678,-393,2389,-2630
-6620,30620,-9550,-289,1769,-2487
-3906,21870,-6858,1698,3445,-2629
624,15102,-8250,5604,4712,-2637
5338,5506,-9200,5929,7343,-3253
5042,-2574,-2820,6335,9003,-2351
-86,-6010,2552,6642,8659,-861
-7184,-4188,4598,2725,5044,-2055
-5604,1528,-2900,-953,2677,-3205
-3820,4940,-850,-1637,2797,-2178
-2132,3130,2556,-690,2150,-634
1230,2078,1504,1854,1644,21
3042,4026,302,1373,2307,-367
2970,4246,16,873,2973,-930
2542,3132,-420,513,3184,-947
2130,1512,-1736,601,3393,-617
2206,-356,-1108,776,3548,-286
2164,-2224,296,1158,4251,-62
2744,-3224,-3238,1538,5269,-155
1414,-2940,-5236,2552,5549,-712
-460,-2586,-5340,2771,4819,-992
1070,-4146,-7038,3357,3603,-838
552,-294,-9068,3911,4052,-1252
-4182,9676,38,2513,3617,-1766
-7580,4316,-12446,-1327,1965,-431
-3580,8410,-32768,861,-3134,-2190
-6366,32767,-24944,-10889,-3818,-3483
-4038,32767,2032,-2281,-4522,-1049
2640,31062,7228,-3558,2338,-399
3558,26758,-7886,-749,-2421,-2806
-2476,26416,6232,2057,94,-2458
3154,30566,-3270,7361,-661,-713
-514,32374,-16610,4648,-650,-1353
258,28504,-12392,-1252,-572,-800
1756,22634,-6724,-2483,-681,-496
-1034,24414,-8704,-1089,-896,-276
-1916,26368,-13634,-2555,-1138,-133
-140,27404,-13088,-4676,-1051,151
-598,27476,-11290,-3240,-1253,-529
-1260,28018,-12798,-1539,-1110,-779
-2802,27596,-15396,-1989,-723,-767
-3628,25830,-11274,-2187,-623,-283
-768,23552,-10462,-1335,-241,39
-1946,21608,-9584,-1449,16,-534
